r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 97.300000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 98.850000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 99.550000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 99.325000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 99.375000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 99.575000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 99.725000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.900000
r : 3 	 pOfError : 0.1 	 pGB : 0.1 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.800000

r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 96.450000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 97.750000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 98.175000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 98.725000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 99.175000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 99.475000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 99.750000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.700000
r : 3 	 pOfError : 0.1 	 pGB : 0.2 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.775000

r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 96.575000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 97.475000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 97.975000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 98.500000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 98.750000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 99.025000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 99.525000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.250000
r : 3 	 pOfError : 0.1 	 pGB : 0.3 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.375000

r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 95.350000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 96.200000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 96.800000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 97.300000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 98.775000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 98.675000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 98.925000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.200000
r : 3 	 pOfError : 0.1 	 pGB : 0.4 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.200000

r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 94.350000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 96.300000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 97.375000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 97.900000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 98.275000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 98.600000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 98.850000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 99.050000
r : 3 	 pOfError : 0.1 	 pGB : 0.5 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 99.525000

r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 94.550000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 95.900000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 96.700000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 97.150000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 97.725000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 97.775000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 98.725000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 98.600000
r : 3 	 pOfError : 0.1 	 pGB : 0.6 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 98.900000

r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 94.800000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 95.375000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 96.775000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 97.675000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 97.450000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 97.850000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 98.425000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 98.300000
r : 3 	 pOfError : 0.1 	 pGB : 0.7 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 98.400000

r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 94.750000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 95.850000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 95.950000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 97.400000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 97.475000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 97.750000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 97.725000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 98.675000
r : 3 	 pOfError : 0.1 	 pGB : 0.8 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 98.400000

r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 93.500000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 94.700000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 96.525000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 96.700000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 96.475000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 97.325000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 97.250000
r : 3 	 pOfError : 0.1 	 pGB : 0.9 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 98.025000
